symbol,feature,horizon,ic,n
ETHUSDT,roc_3h,fwd_168h,0.015871772398178944,2781
ETHUSDT,roc_6h,fwd_1h,0.020393750354645114,2945
ETHUSDT,roc_6h,fwd_3h,0.03803316346333722,2943
ETHUSDT,roc_6h,fwd_6h,0.01002869167817694,2940
ETHUSDT,roc_6h,fwd_12h,0.021708085505897753,2934
ETHUSDT,roc_6h,fwd_24h,0.03721708392962064,2922
ETHUSDT,roc_6h,fwd_48h,0.02849209947173955,2898
ETHUSDT,roc_6h,fwd_72h,-0.006622766324424307,2874
ETHUSDT,roc_6h,fwd_168h,0.017173108044558252,2778
ETHUSDT,roc_12h,fwd_1h,0.006560730718137174,2939
ETHUSDT,roc_12h,fwd_3h,0.01648825696020172,2937
ETHUSDT,roc_12h,fwd_6h,0.021049983615417732,2934
ETHUSDT,roc_12h,fwd_12h,0.04091892629823132,2928
ETHUSDT,roc_12h,fwd_24h,0.05918389167623005,2916
ETHUSDT,roc_12h,fwd_48h,0.031032263990558712,2892
ETHUSDT,roc_12h,fwd_72h,0.0021400301897912867,2868
ETHUSDT,roc_12h,fwd_168h,0.01908163773595815,2772
ETHUSDT,roc_24h,fwd_1h,0.01718475980032453,2927
ETHUSDT,roc_24h,fwd_3h,0.0319304933812754,2925
ETHUSDT,roc_24h,fwd_6h,0.03669973633677161,2922
ETHUSDT,roc_24h,fwd_12h,0.05989098768669123,2916
ETHUSDT,roc_24h,fwd_24h,0.0712596181846206,2904
ETHUSDT,roc_24h,fwd_48h,0.02501576244689468,2880
ETHUSDT,roc_24h,fwd_72h,0.01885084234840247,2856
ETHUSDT,roc_24h,fwd_168h,0.027454634138116614,2760
ETHUSDT,roc_48h,fwd_1h,0.013366294531070352,2903
ETHUSDT,roc_48h,fwd_3h,0.02706850319102812,2901
ETHUSDT,roc_48h,fwd_6h,0.029784233311444766,2898
ETHUSDT,roc_48h,fwd_12h,0.03229461863490576,2892
ETHUSDT,roc_48h,fwd_24h,0.026594660267463644,2880
ETHUSDT,roc_48h,fwd_48h,0.007286878304875804,2856
ETHUSDT,roc_48h,fwd_72h,0.023246205762205256,2832
ETHUSDT,roc_48h,fwd_168h,0.026277171579179873,2736
ETHUSDT,roc_72h,fwd_1h,0.002998985125805051,2879
ETHUSDT,roc_72h,fwd_3h,0.001178464468957835,2877
ETHUSDT,roc_72h,fwd_6h,-0.0039245871260449655,2874
ETHUSDT,roc_72h,fwd_12h,0.008232588862831465,2868
ETHUSDT,roc_72h,fwd_24h,0.03094371856715494,2856
ETHUSDT,roc_72h,fwd_48h,0.03519502486352429,2832
ETHUSDT,roc_72h,fwd_72h,0.03803201769707101,2808
ETHUSDT,roc_72h,fwd_168h,0.01936177049249527,2712
ETHUSDT,roc_168h,fwd_1h,0.009977508367478124,2783
ETHUSDT,roc_168h,fwd_3h,0.016197209712534452,2781
ETHUSDT,roc_168h,fwd_6h,0.01778666748572682,2778
ETHUSDT,roc_168h,fwd_12h,0.0202100888018036,2772
ETHUSDT,roc_168h,fwd_24h,0.028572314736392837,2760
ETHUSDT,roc_168h,fwd_48h,0.02255226918612365,2736
ETHUSDT,roc_168h,fwd_72h,0.012751739961070872,2712
ETHUSDT,roc_168h,fwd_168h,-0.051120560260566716,2616
ETHUSDT,zscore_24h,fwd_1h,0.02690418387412504,2928
ETHUSDT,zscore_24h,fwd_3h,0.04047589026788569,2926
ETHUSDT,zscore_24h,fwd_6h,0.05044898282301872,2923
ETHUSDT,zscore_24h,fwd_12h,0.06461233791629578,2917
ETHUSDT,zscore_24h,fwd_24h,0.07634735330309377,2905
ETHUSDT,zscore_24h,fwd_48h,0.05899974872553689,2881
ETHUSDT,zscore_24h,fwd_72h,0.049837003464263924,2857
ETHUSDT,zscore_24h,fwd_168h,0.02965434375992035,2761
ETHUSDT,zscore_48h,fwd_1h,0.025588101836623328,2904
ETHUSDT,zscore_48h,fwd_3h,0.04316147616896604,2902
ETHUSDT,zscore_48h,fwd_6h,0.054660317707483225,2899
ETHUSDT,zscore_48h,fwd_12h,0.0815166754680977,2893
ETHUSDT,zscore_48h,fwd_24h,0.11542162794861796,2881
ETHUSDT,zscore_48h,fwd_48h,0.1165266378514046,2857
ETHUSDT,zscore_48h,fwd_72h,0.10639561944260961,2833
ETHUSDT,zscore_48h,fwd_168h,0.05828325513543644,2737
ETHUSDT,zscore_72h,fwd_1h,0.0334903350309245,2880
ETHUSDT,zscore_72h,fwd_3h,0.05930643908640325,2878
ETHUSDT,zscore_72h,fwd_6h,0.0759905894040925,2875
ETHUSDT,zscore_72h,fwd_12h,0.10498295372436471,2869
ETHUSDT,zscore_72h,fwd_24h,0.13145000698285647,2857
ETHUSDT,zscore_72h,fwd_48h,0.15123137615419777,2833
ETHUSDT,zscore_72h,fwd_72h,0.1302138037074583,2809
ETHUSDT,zscore_72h,fwd_168h,0.061813962741837196,2713
ETHUSDT,zscore_168h,fwd_1h,0.031128409080158237,2784
ETHUSDT,zscore_168h,fwd_3h,0.05451557717450428,2782
ETHUSDT,zscore_168h,fwd_6h,0.06976752786940187,2779
ETHUSDT,zscore_168h,fwd_12h,0.09817241539210358,2773
ETHUSDT,zscore_168h,fwd_24h,0.12819536950510463,2761
ETHUSDT,zscore_168h,fwd_48h,0.10142621522176835,2737
ETHUSDT,zscore_168h,fwd_72h,0.05725630456015132,2713
ETHUSDT,zscore_168h,fwd_168h,0.002079221939479256,2617
ETHUSDT,hl_range_mean_12h,fwd_1h,-0.004389055435739498,2940
ETHUSDT,hl_range_mean_12h,fwd_3h,-0.005242541257590226,2938
ETHUSDT,hl_range_mean_12h,fwd_6h,-0.008070052374892292,2935
ETHUSDT,hl_range_mean_12h,fwd_12h,-0.021869713518133643,2929
ETHUSDT,hl_range_mean_12h,fwd_24h,-0.02618471758421621,2917
ETHUSDT,hl_range_mean_12h,fwd_48h,0.10167980276182112,2893
ETHUSDT,hl_range_mean_12h,fwd_72h,0.058209774045610466,2869
ETHUSDT,hl_range_mean_12h,fwd_168h,-0.020300198447178716,2773
ETHUSDT,hl_range_z_12h,fwd_1h,-0.007638386233900964,2940
ETHUSDT,hl_range_z_12h,fwd_3h,0.000283623814918116,2938
ETHUSDT,hl_range_z_12h,fwd_6h,0.012724344435516614,2935
ETHUSDT,hl_range_z_12h,fwd_12h,0.0019595733493820815,2929
ETHUSDT,hl_range_z_12h,fwd_24h,-0.028593231255604985,2917
ETHUSDT,hl_range_z_12h,fwd_48h,-0.02688619256684029,2893
ETHUSDT,hl_range_z_12h,fwd_72h,0.004127335989276027,2869
ETHUSDT,hl_range_z_12h,fwd_168h,0.007302017673644727,2773
ETHUSDT,hl_range_mean_24h,fwd_1h,-0.01839482973044913,2928
