feature,horizon,BTCUSDT,ETHUSDT,SOLUSDT,ic_avg,ic_min_abs,same_sign
n_trades_z_24h,fwd_24h,-0.04079702857322322,-0.052086593936829365,-0.02901964823626247,-0.04063442358210501,0.02901964823626247,True
n_trades_z_24h,fwd_3h,0.012975387477871374,0.011644429920245369,0.02073166347284201,0.015117160290319584,0.011644429920245369,True
n_trades_z_24h,fwd_48h,-0.051472748947529824,-0.0326598679298316,-0.04341975768974462,-0.04251745818903535,0.0326598679298316,True
n_trades_z_24h,fwd_6h,0.021078064357826363,0.01620571426933806,0.0211039173892127,0.019462565338792374,0.01620571426933806,True
n_trades_z_24h,fwd_72h,0.009382605435671333,0.01198368821025158,-0.007707752900938456,0.00455284691499482,0.007707752900938456,False
qvol_z_24h,fwd_12h,-0.00040604651297977413,0.00873321942553875,0.016435553680911798,0.008254242197823591,0.00040604651297977413,False
qvol_z_24h,fwd_168h,0.012947774319606985,0.0013182111197363258,0.008275716657060676,0.007513900698801329,0.0013182111197363258,True
qvol_z_24h,fwd_1h,-0.02375598599273699,-0.005580866206185548,0.01174992523313624,-0.005862308988595432,0.005580866206185548,False
qvol_z_24h,fwd_24h,-0.03139900273428056,-0.034709300713775613,-0.011460718390358608,-0.025856340612804934,0.011460718390358608,True
qvol_z_24h,fwd_3h,0.004570631803017907,0.009342002823951884,0.02817125061533289,0.014027961747434226,0.004570631803017907,True
qvol_z_24h,fwd_48h,-0.039707691310454735,-0.023653203335387882,-0.03597310010142363,-0.033111331582422084,0.023653203335387882,True
qvol_z_24h,fwd_6h,0.020266609658559025,0.023837842904859012,0.03201940616325771,0.025374619575558584,0.020266609658559025,True
qvol_z_24h,fwd_72h,0.014353765868984724,0.002887693581397341,-0.002431248264772413,0.004936737061869884,0.002431248264772413,False
roc_12h,fwd_12h,-0.02545254063644437,0.04091892629823132,0.04633153542928488,0.02059930703035728,0.02545254063644437,False
roc_12h,fwd_168h,0.019515833218234257,0.01908163773595815,-0.020030296271394018,0.0061890582275994635,0.01908163773595815,False
roc_12h,fwd_1h,-0.006989080134215684,0.006560730718137174,0.011104137259606036,0.003558595947842509,0.006560730718137174,False
roc_12h,fwd_24h,-0.017868470366623212,0.05918389167623005,0.05147163811469111,0.03092901980809931,0.017868470366623212,False
roc_12h,fwd_3h,-0.00835435811856287,0.01648825696020172,0.022434119182407723,0.010189339341348858,0.00835435811856287,False
roc_12h,fwd_48h,-0.022918930751710774,0.031032263990558712,-0.04322904045517604,-0.011705235738776035,0.022918930751710774,False
roc_12h,fwd_6h,-0.01859306083164706,0.021049983615417732,0.035186196343590555,0.012547706375787076,0.01859306083164706,False
roc_12h,fwd_72h,-0.009952321986704031,0.0021400301897912867,-0.09879139742400116,-0.03553456307363797,0.0021400301897912867,False
roc_168h,fwd_12h,0.014095264522993934,0.0202100888018036,-0.02120413327781965,0.004367073348992628,0.014095264522993934,False
roc_168h,fwd_168h,-0.29071410293010785,-0.051120560260566716,-0.2861007633353667,-0.20931180884201375,0.051120560260566716,True
roc_168h,fwd_1h,0.00783351191141766,0.009977508367478124,0.00017380112149589813,0.005994940466797227,0.00017380112149589813,True
roc_168h,fwd_24h,0.02324030907040787,0.028572314736392837,-0.049498111015570445,0.0007715042637434222,0.02324030907040787,False
roc_168h,fwd_3h,0.015171085519685289,0.016197209712534452,0.0002462939467917904,0.010538196393003844,0.0002462939467917904,True
roc_168h,fwd_48h,0.015546261640619626,0.02255226918612365,-0.09955833874947534,-0.02048660264091069,0.015546261640619626,False
roc_168h,fwd_6h,0.016399970929824353,0.01778666748572682,-0.0050097309642248835,0.00972563581710876,0.0050097309642248835,False
roc_168h,fwd_72h,-0.026220567371325214,0.012751739961070872,-0.13739825854580634,-0.05028902865202023,0.012751739961070872,False
roc_1h,fwd_12h,-0.005887101496588447,0.007379139997567498,0.012902909076851559,0.00479831585927687,0.005887101496588447,False
roc_1h,fwd_168h,0.01019856230947296,0.010125588449162636,0.0015605076200101598,0.007294886126215253,0.0015605076200101598,True
roc_1h,fwd_1h,-0.0013788721399734052,0.0066696762335665925,0.008949578533092929,0.004746794208895372,0.0013788721399734052,False
roc_1h,fwd_24h,-0.008753304827695376,0.018757894611855716,0.019069417310207372,0.00969133569812257,0.008753304827695376,False
roc_1h,fwd_3h,-0.01833358608167502,0.006335434954209107,-0.008651525820785171,-0.006883225649417028,0.006335434954209107,False
roc_1h,fwd_48h,-0.0034082665012306907,0.013931671419978737,-0.005522263725186541,0.0016670470645205016,0.0034082665012306907,False
